iter	Logloss
0	0.6923353532
1	0.6916124543
2	0.6909646006
3	0.6901125729
4	0.6900486337
5	0.6895546419
6	0.6855844446
7	0.6848065139
8	0.6838508472
9	0.6810740849
10	0.6801442768
11	0.6769341608
12	0.6762753494
13	0.6751756351
14	0.6741204517
15	0.6728096875
16	0.6687950895
17	0.6681116172
18	0.6672193286
19	0.666370992
20	0.6656747121
21	0.6620191625
22	0.6613965123
23	0.6585161641
24	0.6553480807
25	0.6545106466
26	0.6516841734
27	0.6492775737
28	0.6485698282
29	0.6477522799
30	0.6453216019
31	0.6424993155
32	0.6418504643
33	0.6411176407
34	0.6405277595
35	0.6384640057
36	0.6375439417
37	0.6365649352
38	0.6357063928
39	0.6352756919
40	0.6343952797
41	0.6338765438
42	0.6332962988
43	0.6312194424
44	0.6305792938
45	0.6297219131
46	0.6288297561
47	0.6279135039
48	0.6270154326
49	0.6261129194
50	0.6260911746
51	0.6250891617
52	0.6242664749
53	0.623669813
54	0.6217831668
55	0.6211410959
56	0.6203131867
57	0.6198012759
58	0.6193151455
59	0.6188996762
60	0.6182405539
61	0.6167840556
62	0.6156519757
63	0.6148023679
64	0.6142352353
65	0.6134082546
66	0.6126748017
67	0.6106268799
68	0.6099679894
69	0.6097023134
70	0.6091567366
71	0.6083911786
72	0.6078605873
73	0.6076380213
74	0.6068058162
75	0.6052749822
76	0.6045153271
77	0.6031066853
78	0.6026098272
79	0.6011511833
80	0.5995141737
81	0.5989810491
82	0.5986681859
83	0.5973089736
84	0.5968602803
85	0.5959734281
86	0.5951561331
87	0.5946920274
88	0.5941673303
89	0.5928007814
90	0.5917842025
91	0.5909076994
92	0.5899157504
93	0.5890663693
94	0.5884189047
95	0.5874089674
96	0.5869075513
97	0.5862128413
98	0.5851862745
99	0.5844557991
100	0.5839124668
101	0.5833845191
102	0.5824249074
103	0.5815760206
104	0.5808418972
105	0.5801512117
106	0.5795242359
107	0.5790415062
108	0.5783699959
109	0.5775540807
110	0.5771605213
111	0.5768595404
112	0.5765755583
113	0.5760616579
114	0.5757282473
115	0.5749593899
116	0.5744730473
117	0.5739063278
118	0.5735920738
119	0.5729324835
120	0.5725564375
121	0.5719779125
122	0.5711019289
123	0.5707178856
124	0.5699137018
125	0.569214242
126	0.5688767839
127	0.56788194
128	0.5672003658
129	0.5663675339
130	0.5662520225
131	0.5654195359
132	0.5652307568
133	0.5646579428
134	0.5637528885
135	0.5632169486
136	0.5627658175
137	0.5626248237
138	0.5620127882
139	0.5611766658
140	0.5602980286
141	0.5598834229
142	0.5594358046
143	0.5591848015
144	0.5584204019
145	0.5582368094
146	0.5579106026
147	0.5571153906
148	0.5569051147
149	0.556317466
150	0.5563153634
151	0.5557534367
152	0.5553572622
153	0.5549382337
154	0.5546699522
155	0.5539595954
156	0.5532961138
157	0.5530416995
158	0.5526111734
159	0.5515109101
160	0.5508916425
161	0.5507001409
162	0.5503903672
163	0.5500883095
